Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
4.00000000	0.00054134	0.00114834	0.00181895	0.00116954	0.78119318	1.72584325	0.95435744	0.00068288	-0.00106936	-0.00139988	-0.00059545	
4.10000000	0.00114778	0.00127314	0.00122368	0.00121487	0.78036155	1.72674484	0.95555348	-0.00014876	-0.00016778	-0.00020383	-0.00017345	
4.20000000	0.00114778	0.00127314	0.00122368	0.00121487	0.78036155	1.72674484	0.95555348	-0.00014876	-0.00016778	-0.00020383	-0.00017345	
4.30000000	0.00028613	0.00141388	0.00191607	0.00120536	0.78134977	1.72610846	0.95451862	0.00083947	-0.00080415	-0.00123869	-0.00040112	
4.40000000	0.00028613	0.00141388	0.00191607	0.00120536	0.78134977	1.72610846	0.95451862	0.00083947	-0.00080415	-0.00123869	-0.00040112	
4.50000000	0.00064072	0.00013843	0.00228255	0.00102057	0.78109087	1.72567505	0.95403883	0.00058056	-0.00123756	-0.00171848	-0.00079183	
4.60000000	0.00105953	0.00062868	0.00083577	0.00084133	0.78095719	1.72726879	0.95572628	0.00044688	0.00035618	-0.00003103	0.00025735	
4.70000000	0.00105953	0.00062868	0.00083577	0.00084133	0.78095719	1.72726879	0.95572628	0.00044688	0.00035618	-0.00003103	0.00025735	
4.80000000	0.00081052	0.00089522	0.00018871	0.00063148	0.78181075	1.72735736	0.95492944	0.00130044	0.00044475	-0.00082787	0.00030577	
4.90000000	0.00081052	0.00089522	0.00018871	0.00063148	0.78181075	1.72735736	0.95492944	0.00130044	0.00044475	-0.00082787	0.00030577	
5.00000000	0.00045468	0.00080049	0.00182388	0.00102635	0.78165165	1.72628013	0.95423414	0.00114134	-0.00063248	-0.00152318	-0.00033810	
5.10000000	0.00120842	0.00083858	0.00120186	0.00108295	0.78036320	1.72776315	0.95689140	-0.00014711	0.00085053	0.00113409	0.00061250	
5.20000000	0.00031656	0.00062398	0.00109103	0.00067719	0.78017623	1.72749486	0.95673104	-0.00033407	0.00058225	0.00097373	0.00040730	
5.30000000	0.00143483	0.00061525	0.00210227	0.00138412	0.78254283	1.72811033	0.95516889	0.00203253	0.00119772	-0.00058842	0.00088061	
5.40000000	0.00126685	0.00008102	0.00149569	0.00094785	0.78164416	1.72739452	0.95533723	0.00113386	0.00048191	-0.00042008	0.00039856	
5.50000000	0.00034758	0.00077399	0.00112755	0.00074971	0.78013879	1.72756255	0.95679929	-0.00037151	0.00064993	0.00104198	0.00044013	
5.60000000	0.00049123	0.00029162	0.00085951	0.00054745	0.78062755	1.72655818	0.95529188	0.00011724	-0.00035444	-0.00046544	-0.00023421	
5.70000000	0.00044687	0.00084418	0.00219115	0.00116073	0.78096851	1.72607656	0.95482636	0.00045821	-0.00083606	-0.00093096	-0.00043627	
5.80000000	0.00087764	0.00074549	0.00132230	0.00098181	0.78192299	1.72686200	0.95431955	0.00141269	-0.00005062	-0.00143776	-0.00002523	
5.90000000	0.00120096	0.00079055	0.00086984	0.00095378	0.78108206	1.72723387	0.95551253	0.00057176	0.00032125	-0.00024479	0.00021608	
6.00000000	0.00094168	0.00017027	0.00169021	0.00093405	0.78126984	1.72711979	0.95530235	0.00075954	0.00020717	-0.00045496	0.00017058	
6.10000000	0.00100637	0.00104726	0.00198909	0.00134758	0.78163076	1.72819550	0.95634577	0.00112046	0.00128289	0.00058846	0.00099727	
6.20000000	0.00025195	0.00185213	0.00133058	0.00114489	0.77983448	1.72616127	0.95543228	-0.00067582	-0.00075134	-0.00032503	-0.00058407	
6.30000000	0.00078585	0.00080712	0.00116799	0.00092032	0.78142414	1.72711151	0.95533200	0.00091383	0.00019890	-0.00042532	0.00022914	
6.40000000	0.00078585	0.00080712	0.00116799	0.00092032	0.78142414	1.72711151	0.95533200	0.00091383	0.00019890	-0.00042532	0.00022914	
6.50000000	0.00096049	0.00084810	0.00136461	0.00105774	0.78073710	1.72595592	0.95472649	0.00022679	-0.00095669	-0.00103082	-0.00058691	
6.60000000	0.00096049	0.00084810	0.00136461	0.00105774	0.78073710	1.72595592	0.95472649	0.00022679	-0.00095669	-0.00103082	-0.00058691	
6.70000000	0.00076838	0.00145053	0.00181852	0.00134581	0.78218124	1.72649884	0.95408845	0.00167094	-0.00041378	-0.00166886	-0.00013723	
