Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
40.01000000	0.02238637	0.02078238	0.01963582	0.02093486	0.78213500	1.72979056	0.95704469	0.00162469	0.00287795	0.00128738	0.00193000	
41.01000000	0.02360780	0.02113786	0.02062496	0.02179021	0.78257717	1.72954894	0.95651518	0.00206686	0.00263633	0.00075787	0.00182035	
42.01000000	0.02585881	0.02690505	0.02629556	0.02635314	0.77928230	1.72753310	0.95782557	-0.00122801	0.00062048	0.00206826	0.00048691	
43.01000000	0.02974240	0.02911884	0.02876532	0.02920885	0.78128703	1.72878542	0.95693603	0.00077673	0.00187281	0.00117872	0.00127608	
44.01000000	0.03279333	0.03321863	0.03129626	0.03243607	0.78039622	1.72888155	0.95760047	-0.00011408	0.00196893	0.00184315	0.00123267	
45.01000000	0.03859956	0.03546128	0.03428190	0.03611424	0.78359460	1.73112511	0.95698368	0.00308430	0.00421250	0.00122636	0.00284105	
46.01000000	0.04069348	0.03979031	0.03714004	0.03920794	0.78140052	1.73039788	0.95835178	0.00089021	0.00348526	0.00259447	0.00232331	
47.01000000	0.04544481	0.04449420	0.04158119	0.04384007	0.78149567	1.73085366	0.95827309	0.00098536	0.00394104	0.00251578	0.00248073	
48.01000000	0.04938535	0.04916500	0.04587883	0.04814306	0.78067476	1.73055095	0.95899102	0.00016445	0.00363833	0.00323371	0.00234550	
49.01000000	0.05527851	0.05168472	0.05157264	0.05284529	0.78411509	1.73063790	0.95598072	0.00360478	0.00372528	0.00022340	0.00251782	
50.01000000	0.05980611	0.05669966	0.05453331	0.05701302	0.78372100	1.73221245	0.95822589	0.00321069	0.00529983	0.00246858	0.00365970	
51.01000000	0.06496859	0.06132379	0.05895616	0.06174951	0.78436499	1.73295387	0.95850617	0.00385469	0.00604126	0.00274885	0.00421493	
52.01000000	0.06839575	0.06559344	0.06376126	0.06591681	0.78345869	1.73158330	0.95790866	0.00294839	0.00467069	0.00215135	0.00325681	
53.01000000	0.07338786	0.07042046	0.06810772	0.07063868	0.78353712	1.73219184	0.95831187	0.00302682	0.00527923	0.00255455	0.00362020	
54.01000000	0.07690124	0.07517019	0.07040841	0.07415995	0.78195501	1.73334866	0.96056033	0.00144470	0.00643605	0.00480302	0.00422792	
55.01000000	0.08497571	0.08110730	0.07504761	0.08037687	0.78440024	1.73683326	0.96183477	0.00388994	0.00992064	0.00607746	0.00662935	
56.01000000	0.08810231	0.08472499	0.08004744	0.08429158	0.78396402	1.73492158	0.96048937	0.00345372	0.00800897	0.00473205	0.00539825	
57.01000000	0.09290519	0.08942992	0.08429849	0.08887787	0.78390941	1.73548948	0.96089154	0.00339911	0.00857686	0.00513423	0.00570340	
58.01000000	0.09736736	0.09515017	0.08849842	0.09367198	0.78327979	1.73588410	0.96241129	0.00276949	0.00897149	0.00665397	0.00613165	
59.01000000	0.10200990	0.09831466	0.09348118	0.09793525	0.78460337	1.73554863	0.96058872	0.00409307	0.00863602	0.00483140	0.00585350	
60.01000000	0.10698053	0.10343721	0.09909294	0.10317023	0.78382716	1.73476975	0.96009749	0.00331685	0.00785714	0.00434018	0.00517139	
61.01000000	0.11314811	0.10878405	0.10439410	0.10877542	0.78503535	1.73565017	0.96013293	0.00452505	0.00873756	0.00437561	0.00587941	
62.01000000	0.11749786	0.11375458	0.10717663	0.11280969	0.78430015	1.73742452	0.96236195	0.00378985	0.01051190	0.00660463	0.00696879	
63.01000000	0.12341395	0.11972110	0.11308207	0.11873904	0.78406857	1.73714844	0.96239358	0.00355827	0.01023583	0.00663627	0.00681012	
