Project Title : exSitu_35Zr39Ti25Nb 
Material : 35Zr39Ti25Nb 
Informations :  
Date : 17/05/2019 
Type test : Tension / Compression 
Control Mod : Manual 
Section : Rectangular 
Width(mm) : 2.210000 
Total Length(mm) : 50.000000 
Gauge Length(mm) : 5.100000 
Thickness(mm) : 0.950000 
====================================================================================================
Time (s) 	Speed (µm/s) 	Traverse Speed (µm/s) 	Displacement (µm) 	Force (N) 	Real Speed (µm/s) 	Cal. Force (V) 	Stress (Mpa) 	Elongation (%) 	Speed Controller Input Voltage (V) 	
4.700000 	5.000000 	5.000000 	-543.100000 	5.225744 	0.008685 	2.462672 	2.489042 	-10.649020 	1.377600 	
4.800000 	5.000000 	5.000000 	-543.100000 	5.058126 	0.009207 	2.462532 	2.409205 	-10.649020 	1.377600 	
4.900000 	5.000000 	5.000000 	-543.100000 	5.028547 	0.007958 	2.462507 	2.395116 	-10.649020 	1.377600 	
5.000000 	5.000000 	5.000000 	-543.100000 	4.870788 	0.007446 	2.462376 	2.319975 	-10.649020 	1.377600 	
5.100000 	5.000000 	5.000000 	-543.100000 	5.018687 	0.006551 	2.462499 	2.390420 	-10.649020 	1.377600 	
5.200000 	5.000000 	5.000000 	-543.100000 	5.186305 	0.005527 	2.462639 	2.470257 	-10.649020 	1.377600 	
5.300000 	5.000000 	5.000000 	-543.100000 	5.294764 	0.007148 	2.462729 	2.521917 	-10.649020 	1.377600 	
5.400000 	5.000000 	5.000000 	-543.100000 	5.176445 	0.007715 	2.462631 	2.465561 	-10.649020 	1.377600 	
5.500000 	5.000000 	5.000000 	-543.100000 	5.058126 	0.007865 	2.462532 	2.409205 	-10.649020 	1.377600 	
5.600000 	5.000000 	5.000000 	-543.100000 	4.801769 	0.008312 	2.462318 	2.287101 	-10.649020 	1.377600 	
5.700000 	5.000000 	5.000000 	-543.100000 	4.644011 	0.007417 	2.462187 	2.211960 	-10.649020 	1.377600 	
5.800000 	5.000000 	5.000000 	-543.100000 	4.791909 	0.007501 	2.462310 	2.282405 	-10.649020 	1.377600 	
5.900000 	5.000000 	5.000000 	-543.100000 	4.545412 	0.007194 	2.462105 	2.164997 	-10.649020 	1.377600 	
6.000000 	5.000000 	5.000000 	-543.100000 	4.841209 	0.006821 	2.462351 	2.305886 	-10.649020 	1.377600 	
6.100000 	5.000000 	5.000000 	-543.100000 	4.900368 	0.008237 	2.462400 	2.334064 	-10.649020 	1.377600 	
6.200000 	5.000000 	5.000000 	-543.100000 	4.880648 	0.008555 	2.462384 	2.324672 	-10.649020 	1.377600 	
6.300000 	5.000000 	5.000000 	-543.100000 	5.304624 	0.008369 	2.462737 	2.526613 	-10.649020 	1.377600 	
6.400000 	5.000000 	5.000000 	-543.100000 	5.097566 	0.008985 	2.462565 	2.427990 	-10.649020 	1.377600 	
6.500000 	5.000000 	5.000000 	-543.100000 	5.196165 	0.007708 	2.462647 	2.474953 	-10.649020 	1.377600 	
